n fast slow
2 1.1823e-05 5.469e-06
3 1.4739e-05 7.187e-06
4 2.9166e-05 1.7135e-05
5 3.25e-05 2.0416e-05
6 4.6823e-05 5.7552e-05
7 5.099e-05 0.00106442
8 0.00024104 0.0137708
9 8.6301e-05 149.186
10 0.00115634 4378.01
11 0.0277631 1e5
12 0.0108956 1e5
13 0.101421 1e5
14 0.22647 1e5
15 0.897285 1e5
16 6.62009 1e5
17 56.4537 1e5
